Region,Constituency,Station,Registered,UDP,NPP,GDC,NUP,PDOIS,INDP,LEAVE_BLANK
Banjul,Banjul Central,22nd July Square .,6505,1034,184,273,205,56,202,
Banjul,Banjul Central,Banjul. City Council,6694,303,216,223,129,199,141,
Banjul,Banjul Central,Bethel Church,6470,208,205,289,306,271,250,
Banjul,Banjul Central,Odeon Cinema,6570,116,300,121,236,255,220,
Banjul,Banjul Central,Sam Jack Terrace,2666,300,280,73,215,102,136,
Banjul,Banjul Central,Wellesley Macdonald St. Junc.,1466,211,214,267,110,182,230,
Banjul,Banjul North,Campama Pri. Sch.,2600,245,268,60,37,174,223,
Banjul,Banjul North,Crab Island Jun. Sch.,461,207,74,147,51,146,104,
Banjul,Banjul North,Gambia Sen. Sec. Sch. (Next To Arch 22),1803,297,106,136,269,86,191,
Banjul,Banjul North,Police Barracks,1518,164,324,129,136,107,36,
Banjul,Banjul North,St. Joseph Sen. Sec. Sch.,371,286,259,268,112,103,85,
Banjul,Banjul South,Banjul Mini Stadium,1720,62,257,163,127,100,310,
Banjul,Banjul South,Lasso Wharf Market,904,120,294,45,294,159,308,
Banjul,Banjul South,Methodist Pri. Sch.( Wesley Annex),896,283,255,189,114,107,67,
Banjul,Banjul South,Muhammadan Pri. Sch.,1147,130,165,307,311,188,225,
Banjul,Banjul South,St. Aug. Jnr. Sec. Sch.,450,74,143,202,317,137,163,
Banjul,Banjul South,Wesley Pri.Sch.,1131,45,229,316,139,106,98,
Basse,Basse,Allounghare,2984,274,299,106,270,269,208,
Basse,Basse,Baniko Kekoro,1830,234,77,128,320,285,293,
Basse,Basse,Basse  Dunya Cinema,3250,109,255,143,63,69,249,
Basse,Basse,Basse Community Centre,1080,154,229,97,91,99,53,
Basse,Basse,Fass Bajong,1239,237,262,60,82,131,33,
Basse,Basse,Giroba Kunda,1223,174,299,165,269,295,124,
Basse,Basse,Kabakama,1559,40,100,316,94,50,93,
Basse,Basse,Kanube,743,106,230,278,261,268,158,
Basse,Basse,Koba Kunda,995,263,241,142,105,211,77,
Basse,Basse,Kumbija,1437,188,121,228,121,287,59,
Basse,Basse,Manneh Kunda,919,120,237,244,178,116,68,
Basse,Basse,Mansajang Kunda,1410,272,257,268,96,189,309,
Basse,Basse,Sabi,3882,94,188,137,328,190,92,
Basse,Basse,Sare Musa,244,211,193,89,286,267,310,
Basse,Jimara,Bakadaji,1334,201,243,115,312,250,117,
Basse,Jimara,Bantankore (Sandi Kunda),785,255,298,193,159,135,277,
Basse,Jimara,Demba Kunda Bahawa,920,41,45,229,310,272,109,
Basse,Jimara,Demba Kunda Moribugu,1768,177,227,292,33,245,57,
Basse,Jimara,Fatako,294,295,185,173,54,320,321,
Basse,Jimara,Gambisara,5791,278,182,160,238,310,95,
Basse,Jimara,Hella Kunda,557,42,313,254,179,100,151,
Basse,Jimara,Julangel,1098,289,255,238,153,249,276,
Basse,Jimara,Koro Jula Kunda,344,302,280,209,245,251,64,
Basse,Jimara,Kossemar Tenda,484,110,242,160,88,311,50,
Basse,Jimara,Mankamang Kunda,712,158,239,109,82,265,104,
Basse,Jimara,Medina Samba Sowe,515,134,200,191,142,275,307,
Basse,Jimara,Numuyel,2338,46,140,240,79,178,164,
Basse,Jimara,Sare Bojo  (Ngamana),1877,267,222,205,262,304,130,
Basse,Jimara,Sare Jawbeh,474,189,106,261,178,99,130,
Basse,Jimara,Sare Njobo,1053,205,71,204,58,38,150,
Basse,Jimara,Sare Wollom,402,167,231,303,184,137,144,
Basse,Jimara,Sotuma Sere,1827,233,172,117,279,70,233,
Basse,Jimara,Tabajang,479,71,248,173,58,276,208,
Basse,Kantora,Baragi Kunda,301,104,215,155,275,313,106,
Basse,Kantora,Boli Bana,286,305,83,94,169,277,253,
Basse,Kantora,Brikama Kantora,436,216,79,279,112,249,266,
Basse,Kantora,Fantumbu,479,161,206,86,92,263,219,
Basse,Kantora,Fatoto,967,48,262,107,302,132,159,
Basse,Kantora,Gambisara Lamoi,819,117,256,75,80,180,195,
Basse,Kantora,Garawol  A,1867,306,274,290,293,46,69,
Basse,Kantora,Garawol  B,2159,290,136,84,112,38,151,
Basse,Kantora,Gidda,879,322,219,130,264,81,257,
Basse,Kantora,Kebbeh Kunda,330,119,225,290,244,249,245,
Basse,Kantora,Keneba Kantora,708,173,89,90,318,197,49,
Basse,Kantora,Koina,3031,61,140,185,112,65,262,
Basse,Kantora,Missera Ba Mariama,1591,254,90,97,33,233,175,
Basse,Kantora,Nyamanari,1548,147,245,319,160,280,180,
Basse,Kantora,Sabi Kalilu,280,188,47,133,278,104,144,
Basse,Kantora,Sami Koto,522,88,48,199,151,224,318,
Basse,Kantora,Songkunda,1055,215,198,73,215,116,219,
Basse,Kantora,Suduwol,1124,36,217,314,258,50,83,
Basse,Sandu,Changali Lang Kaddy,886,142,255,44,194,270,298,
Basse,Sandu,Darsilameh Bulembu,750,263,211,176,104,151,129,
Basse,Sandu,Darsilameh Mandinka,979,105,103,151,150,264,197,
Basse,Sandu,Darsilameh Takutala,1052,145,119,62,122,130,124,
Basse,Sandu,Diabugu Batapa,2312,182,98,179,222,200,266,
Basse,Sandu,Kuraw Arfang,579,58,54,240,190,58,178,
Basse,Sandu,Kuwonku,697,147,278,243,178,238,150,
Basse,Sandu,Mamadi Ceesay Kunda,549,105,98,89,99,53,255,
Basse,Sandu,Missera,1138,285,72,167,139,232,192,
Basse,Sandu,Naude,912,95,147,273,128,167,69,
Basse,Sandu,Niankui,746,145,87,112,144,266,296,
Basse,Sandu,Sare Demba Toro,1284,175,324,244,74,35,295,
Basse,Sandu,Sare Gugu Basirou,1160,49,212,185,120,171,288,
Basse,Tumana,Badari,621,293,91,91,139,202,46,
Basse,Tumana,Bissandugu,748,139,54,231,146,121,37,
Basse,Tumana,Chamoi,668,110,217,147,153,83,204,
Basse,Tumana,Daibugu Ba- Sillah,601,42,286,303,94,235,49,
Basse,Tumana,Dampha Kunda,2000,208,147,76,113,101,228,
Basse,Tumana,Dingiri,1772,198,60,183,127,208,91,
Basse,Tumana,Kulari,2841,134,126,43,182,274,273,
Basse,Tumana,Kulkuleh,643,218,257,49,281,280,137,
Basse,Tumana,Kundam Ma- Fatty,1116,129,214,237,247,255,273,
Basse,Tumana,Medina Samako,809,207,247,264,96,300,310,
Basse,Tumana,Njayel,557,103,208,287,266,271,324,
Basse,Tumana,Perai,677,168,272,273,114,273,54,
Basse,Tumana,Sanunding,844,314,315,83,134,304,206,
Basse,Tumana,Sare Alpha,1898,290,264,186,234,227,198,
Basse,Tumana,Tambasansang,622,311,71,200,299,173,313,
Basse,Tumana,Waliba Kunda,578,118,232,214,119,170,305,
Basse,Wulli East,Baja Kunda,2907,72,125,60,228,227,182,
Basse,Wulli East,Bantunding,1012,289,71,271,139,158,257,
Basse,Wulli East,Boro Kanda Kasseh,913,260,295,309,239,252,162,
Basse,Wulli East,Brifu,748,165,319,136,115,276,265,
Basse,Wulli East,Foday Kunda,437,280,176,94,159,273,326,
Basse,Wulli East,Gunjur Koto,327,207,213,303,270,260,172,
Basse,Wulli East,Macca Masireh,746,199,47,33,322,75,292,
Basse,Wulli East,Mureh Kunda,631,187,281,208,219,55,183,
Basse,Wulli East,Passamas Mandinka,886,295,168,304,66,146,120,
Basse,Wulli East,Sakoley Kunda,587,194,38,320,157,160,94,
Basse,Wulli East,Sare Bohum,811,137,142,293,104,127,182,
Basse,Wulli East,Sutokoba,1620,245,116,206,265,165,163,
Basse,Wulli East,Wellingara Yareh,644,223,228,252,38,91,175,
Basse,Wulli West,Banni Israel,476,188,236,160,239,101,81,
Basse,Wulli West,Barrow Kunda,834,107,323,227,182,40,65,
Basse,Wulli West,Chamoi Bunda,901,306,255,184,180,126,96,
Basse,Wulli West,Fadia Kunda,615,149,135,198,287,131,210,
Basse,Wulli West,Gunjur Kuta,1364,327,235,184,240,214,190,
Basse,Wulli West,Jah Kunda,795,225,103,140,73,54,142,
Basse,Wulli West,Kerewan Badala,365,248,298,271,41,318,200,
Basse,Wulli West,Kerewan Nyakoi,398,227,55,135,167,183,48,
Basse,Wulli West,Koli Bantang,767,291,70,321,237,149,247,
Basse,Wulli West,Limbambulu Yamadou,542,71,66,261,215,152,54,
Basse,Wulli West,Madina Koto,575,291,36,136,99,121,61,
Basse,Wulli West,Perai Mamadi (Bajonkoto),449,180,215,254,113,33,114,
Basse,Wulli West,Sare Ngai,1144,314,288,136,285,245,108,
Basse,Wulli West,Sutukonding,951,86,180,216,266,187,39,
Basse,Wulli West,Taibatou,767,155,252,164,142,96,86,
Basse,Wulli West,Tuba Wulli,730,277,270,298,194,68,85,
Brikama,Brikama North,Bafuloto Bantaba,1177,216,79,153,288,190,172,
Brikama,Brikama North,Bafuloto Nema Su,1344,166,290,65,253,66,223,
Brikama,Brikama North,Brikama Darukhairu Mosque,2466,94,243,263,41,176,138,
Brikama,Brikama North,Brikama Kabafita Mosque,2932,168,326,258,35,299,317,
Brikama,Brikama North,Brikama Misira Mosque,1875,226,258,145,75,63,305,
Brikama,Brikama North,Brikama Nema Geebungoto (Comm Dev.),1214,40,135,178,302,103,173,
Brikama,Brikama North,Brikama Nemataba Girl Guides Centre,1028,227,37,100,253,109,101,
Brikama,Brikama North,Brikama Nyambai Baba Galleh Mosque,2487,216,315,148,49,69,163,
Brikama,Brikama North,Brikama Nyambai College Market,2489,76,134,43,94,128,136,
Brikama,Brikama North,Brikama Nyambai Jambarr Sanneh (Methodist Sch Gate),1810,49,188,291,89,56,247,
Brikama,Brikama North,Brikama Wellingara Praying Grounds,2961,277,202,310,146,118,327,
Brikama,Brikama North,Busuranding Bantaba,608,62,196,86,265,252,112,
Brikama,Brikama North,Farato Bojang Kunda (Sotokoi Daru) Bantaba,2177,62,73,128,251,129,286,
Brikama,Brikama North,Jalambang Mosque,2763,214,55,276,124,252,98,
Brikama,Brikama North,Jamisa Bantaba,2069,277,58,42,73,185,94,
Brikama,Brikama North,Kassakunda Bantaba,851,144,141,246,182,314,218,
Brikama,Brikama North,Kembujeh Bantaba,2172,86,114,231,223,115,229,
Brikama,Brikama North,Kembujeh Medina Sch Ground,1227,195,62,274,179,178,235,
Brikama,Brikama North,Kubuneh Skill Centre,1310,289,151,69,199,100,80,
Brikama,Brikama North,New Town North (Mother Ali Nur. Sch.),887,232,72,75,115,202,73,
Brikama,Brikama North,Serekunda Nding Skill Centre,444,296,291,186,68,123,34,
Brikama,Brikama North,Taibatou Bantaba,464,155,194,270,309,328,164,
Brikama,Brikama South,Bakary Sambou Yaa Mosque,1438,325,141,179,84,269,52,
Brikama,Brikama South,Brikama  Perseverance Praying Ground,2272,51,208,180,108,203,281,
Brikama,Brikama South,Brikama Bojang Kunda Bantaba,529,97,65,33,57,114,70,
Brikama,Brikama South,Brikama Darsilameh (Near Alkalo'S Compound),1831,210,220,199,68,241,156,
Brikama,Brikama South,Brikama Gidda (School Area),3074,321,39,62,186,102,180,
Brikama,Brikama South,Brikama Gidda Bantaba,2713,46,178,230,281,155,302,
Brikama,Brikama South,Brikama Hawla Kunda (Kabilo Head Comp. Gate),825,260,44,58,262,67,278,
Brikama,Brikama South,Brikama Mansaringsu Bantaba,729,130,277,90,126,107,127,
Brikama,Brikama South,Brikama Medina Bantaba,1769,153,106,290,71,80,146,
Brikama,Brikama South,Brikama Newtown South Mosque,1743,38,322,58,117,284,309,
Brikama,Brikama South,Brikama Perseverance Bantaba,2216,61,134,78,119,217,238,
Brikama,Brikama South,Brikama Sanneh Kunda Bantaba,2065,189,40,97,152,325,314,
